airport_code,airport_name,airport_name_full,time_label,time_month,time_month_name,time_year,statistics_of_delays_carrier,statistics_of_delays_late_aircraft,statistics_of_delays_national_aviation_system,statistics_of_delays_security,statistics_of_delays_weather,statistics_carriers_total,statistics_flights_cancelled,statistics_flights_delayed,statistics_flights_diverted,statistics_flights_on_time,statistics_flights_total,,
BOS,Boston, MA: Logan International,01-avr.-04,4,April,2004,399,529,753,1,21,16,106,1704,3,9002,10815,,
BWI,Baltimore, MD: Baltimore/Washington International Thurgood Marshall,01-avr.-04,4,April,2004,363,648,398,6,34,12,20,1448,4,7218,8690,,
CLT,Charlotte, NC: Charlotte Douglas International,01-avr.-04,4,April,2004,237,388,467,0,14,11,42,1105,7,7699,8853,,
DCA,Washington, DC: Ronald Reagan Washington National,01-avr.-04,4,April,2004,294,285,383,3,47,15,62,1013,7,6609,7691,,
DEN,Denver, CO: Denver International,01-avr.-04,4,April,2004,490,364,523,7,52,14,74,1435,19,10998,12526,,
DFW,Dallas/Fort Worth, TX: Dallas/Fort Worth International,01-avr.-04,4,April,2004,700,777,1396,11,217,14,249,3096,28,25220,28593,,
DTW,Detroit, MI: Detroit Metro Wayne County,01-avr.-04,4,April,2004,422,383,768,8,54,13,117,1637,8,10632,12394,,
EWR,Newark, NJ: Newark Liberty International,01-avr.-04,4,April,2004,355,655,2336,10,108,14,142,3463,14,9604,13223,,
FLL,Fort Lauderdale, FL: Fort Lauderdale-Hollywood International,01-avr.-04,4,April,2004,309,374,617,7,22,13,6,1330,10,4561,5907,,
IAD,Washington, DC: Washington Dulles International,01-avr.-04,4,April,2004,222,430,663,0,19,15,68,1339,11,7316,8734,,
IAH,Houston, TX: George Bush Intercontinental/Houston,01-avr.-04,4,April,2004,418,660,1629,12,92,13,92,2807,55,13712,16666,,
JFK,New York, NY: John F. Kennedy International,01-avr.-04,4,April,2004,357,297,819,16,28,12,29,1513,19,5683,7244,,
LAS,Las Vegas, NV: McCarran International,01-avr.-04,4,April,2004,528,875,847,10,74,14,63,2335,11,10471,12880,,
LAX,Los Angeles, CA: Los Angeles International,01-avr.-04,4,April,2004,775,813,802,11,53,14,113,2460,18,16362,18953,,
LGA,New York, NY: LaGuardia,01-avr.-04,4,April,2004,324,451,1385,1,118,12,174,2277,23,8222,10696,,
MCO,Orlando, FL: Orlando International,01-avr.-04,4,April,2004,423,513,684,4,43,15,7,1664,10,7272,8953,,
MDW,Chicago, IL: Chicago Midway International,01-avr.-04,4,April,2004,235,479,412,7,15,11,34,1150,2,6402,7588,,
MIA,Miami, FL: Miami International,01-avr.-04,4,April,2004,223,160,464,0,20,13,11,868,16,4639,5534,,
MSP,Minneapolis, MN: Minneapolis-St Paul International,01-avr.-04,4,April,2004,380,300,802,8,84,13,128,1574,42,10359,12103,,
ORD,Chicago, IL: Chicago O'Hare International,01-avr.-04,4,April,2004,728,1483,5346,2,129,14,456,7690,17,23928,32091,,
PDX,Portland, OR: Portland International,01-avr.-04,4,April,2004,185,233,157,4,8,10,45,587,2,3978,4612,,
PHL,Philadelphia, PA: Philadelphia International,01-avr.-04,4,April,2004,315,448,1138,0,33,13,65,1935,12,7037,9049,,
PHX,Phoenix, AZ: Phoenix Sky Harbor International,01-avr.-04,4,April,2004,549,782,607,9,43,15,150,1991,20,11957,14118,,
SAN,San Diego, CA: San Diego International,01-avr.-04,4,April,2004,363,377,250,5,28,13,40,1019,28,5870,6957,,
SEA,Seattle, WA: Seattle/Tacoma International,01-avr.-04,4,April,2004,333,489,337,11,17,14,48,1187,16,7402,8653,,
SFO,San Francisco, CA: San Francisco International,01-avr.-04,4,April,2004,395,293,773,9,27,12,73,1496,5,9183,10757,,
SLC,Salt Lake City, UT: Salt Lake City International,01-avr.-04,4,April,2004,549,284,628,17,52,12,79,1527,3,9463,11072,,
TPA,Tampa, FL: Tampa International,01-avr.-04,4,April,2004,255,348,333,3,18,11,4,958,3,4900,5865,,
ATL,Atlanta, GA: Hartsfield-Jackson Atlanta International,01-mai-04,5,May,2004,1326,1515,5402,2,556,11,457,8802,72,25565,34896,,
BOS,Boston, MA: Logan International,01-mai-04,5,May,2004,435,662,1295,4,91,16,225,2489,9,8262,10985,,
BWI,Baltimore, MD: Baltimore/Washington International Thurgood Marshall,01-mai-04,5,May,2004,393,795,730,7,114,12,49,2037,37,6779,8902,,
CLT,Charlotte, NC: Charlotte Douglas International,01-mai-04,5,May,2004,262,424,556,1,48,11,80,1291,7,7479,8857,,
DCA,Washington, DC: Ronald Reagan Washington National,01-mai-04,5,May,2004,323,328,713,2,113,15,138,1476,25,5976,7615,,
DEN,Denver, CO: Denver International,01-mai-04,5,May,2004,631,525,774,3,79,14,106,2012,49,10653,12820,,
DFW,Dallas/Fort Worth, TX: Dallas/Fort Worth International,01-mai-04,5,May,2004,926,930,1724,2,239,14,490,3820,113,25044,29467,,
DTW,Detroit, MI: Detroit Metro Wayne County,01-mai-04,5,May,2004,496,550,1094,3,201,13,269,2345,62,9629,12305,,
EWR,Newark, NJ: Newark Liberty International,01-mai-04,5,May,2004,384,792,2548,6,144,14,339,3872,53,8734,12998,,
FLL,Fort Lauderdale, FL: Fort Lauderdale-Hollywood International,01-mai-04,5,May,2004,274,420,369,2,47,13,10,1114,3,4283,5410,,
IAD,Washington, DC: Washington Dulles International,01-mai-04,5,May,2004,261,726,737,0,47,15,162,1769,36,7023,8990,,
IAH,Houston, TX: George Bush Intercontinental/Houston,01-mai-04,5,May,2004,547,836,1488,9,133,13,390,3014,173,13661,17238,,
JFK,New York, NY: John F. Kennedy International,01-mai-04,5,May,2004,328,358,845,14,56,12,41,1604,30,5603,7278,,
LAS,Las Vegas, NV: McCarran International,01-mai-04,5,May,2004,598,912,747,5,50,14,67,2313,14,10883,13277,,
LAX,Los Angeles, CA: Los Angeles International,01-mai-04,5,May,2004,804,842,1224,8,96,14,173,2976,15,16181,19345,,
LGA,New York, NY: LaGuardia,01-mai-04,5,May,2004,362,511,1736,6,175,12,299,2787,44,7572,10702,,
MCO,Orlando, FL: Orlando International,01-mai-04,5,May,2004,439,565,634,3,74,14,17,1712,3,7159,8891,,
MDW,Chicago, IL: Chicago Midway International,01-mai-04,5,May,2004,251,643,848,2,100,11,52,1847,23,5807,7729,,
MIA,Miami, FL: Miami International,01-mai-04,5,May,2004,262,257,420,4,30,13,41,974,21,4547,5583,,
MSP,Minneapolis, MN: Minneapolis-St Paul International,01-mai-04,5,May,2004,506,525,1036,5,137,13,217,2209,46,9994,12466,,
ORD,Chicago, IL: Chicago O'Hare International,01-mai-04,5,May,2004,1106,2759,6883,1,215,14,1968,10964,236,19588,32756,,
PDX,Portland, OR: Portland International,01-mai-04,5,May,2004,216,291,251,2,22,10,36,781,1,3897,4715,,
PHL,Philadelphia, PA: Philadelphia International,01-mai-04,5,May,2004,379,512,1425,2,88,14,169,2405,35,7074,9683,,
PHX,Phoenix, AZ: Phoenix Sky Harbor International,01-mai-04,5,May,2004,548,757,652,11,53,14,153,2020,21,12077,14271,,
SAN,San Diego, CA: San Diego International,01-mai-04,5,May,2004,363,413,368,6,31,13,40,1180,10,6014,7244,,
SEA,Seattle, WA: Seattle/Tacoma International,01-mai-04,5,May,2004,485,628,678,12,38,14,78,1845,11,7392,9326,,
SFO,San Francisco, CA: San Francisco International,01-mai-04,5,May,2004,450,441,1314,1,64,12,86,2274,11,8786,11157,,
SLC,Salt Lake City, UT: Salt Lake City International,01-mai-04,5,May,2004,634,336,624,22,66,12,114,1684,5,9856,11659,,
TPA,Tampa, FL: Tampa International,01-mai-04,5,May,2004,271,444,349,2,33,12,12,1099,3,4723,5837,,
ATL,Atlanta, GA: Hartsfield-Jackson Atlanta International,01-juin-04,6,June,2004,1667,2070,7274,11,695,13,598,11719,134,21845,34296,,
BOS,Boston, MA: Logan International,01-juin-04,6,June,2004,520,794,1053,8,119,16,241,2491,17,8527,11276,,
BWI,Baltimore, MD: Baltimore/Washington International Thurgood Marshall,01-juin-04,6,June,2004,427,829,619,10,108,12,46,1994,13,6829,8882,,
CLT,Charlotte, NC: Charlotte Douglas International,01-juin-04,6,June,2004,390,597,668,1,67,11,77,1724,37,6816,8654,,
DCA,Washington, DC: Ronald Reagan Washington National,01-juin-04,6,June,2004,410,385,669,1,145,15,161,1612,31,5811,7615,,
DEN,Denver, CO: Denver International,01-juin-04,6,June,2004,969,726,1259,7,141,14,113,3101,16,10173,13403,,
DFW,Dallas/Fort Worth, TX: Dallas/Fort Worth International,01-juin-04,6,June,2004,1482,2243,3381,19,729,14,642,7857,284,19643,28426,,
DTW,Detroit, MI: Detroit Metro Wayne County,01-juin-04,6,June,2004,659,670,1055,9,164,13,232,2559,20,9522,12333,,
EWR,Newark, NJ: Newark Liberty International,01-juin-04,6,June,2004,486,947,1813,11,127,14,275,3383,50,9427,13135,,
FLL,Fort Lauderdale, FL: Fort Lauderdale-Hollywood International,01-juin-04,6,June,2004,322,489,382,4,70,13,14,1267,7,3830,5118,,
IAD,Washington, DC: Washington Dulles International,01-juin-04,6,June,2004,362,849,670,5,70,15,178,1956,27,6894,9055,,
IAH,Houston, TX: George Bush Intercontinental/Houston,01-juin-04,6,June,2004,740,1456,2870,22,279,13,291,5368,272,10921,16852,,
JFK,New York, NY: John F. Kennedy International,01-juin-04,6,June,2004,417,472,709,11,90,12,61,1697,19,5787,7564,,
LAS,Las Vegas, NV: McCarran International,01-juin-04,6,June,2004,853,1343,1214,21,69,15,102,3500,15,9472,13089,,
LAX,Los Angeles, CA: Los Angeles International,01-juin-04,6,June,2004,1213,1217,1614,21,126,14,152,4192,15,14881,19240,,
LGA,New York, NY: LaGuardia,01-juin-04,6,June,2004,423,603,1212,5,154,12,305,2397,64,7972,10738,,
MCO,Orlando, FL: Orlando International,01-juin-04,6,June,2004,565,812,818,6,106,15,23,2309,31,6472,8835,,
MDW,Chicago, IL: Chicago Midway International,01-juin-04,6,June,2004,257,763,892,11,109,11,40,2036,6,5685,7767,,
MIA,Miami, FL: Miami International,01-juin-04,6,June,2004,348,382,554,2,60,13,39,1346,11,3938,5334,,
MSP,Minneapolis, MN: Minneapolis-St Paul International,01-juin-04,6,June,2004,712,650,1150,14,147,13,132,2674,41,9746,12593,,
ORD,Chicago, IL: Chicago O'Hare International,01-juin-04,6,June,2004,1269,2422,5016,7,244,13,849,8959,37,21453,31298,,
PDX,Portland, OR: Portland International,01-juin-04,6,June,2004,284,426,306,6,34,10,35,1054,4,3668,4761,,
PHL,Philadelphia, PA: Philadelphia International,01-juin-04,6,June,2004,448,683,1347,4,94,14,217,2576,35,7070,9898,,
PHX,Phoenix, AZ: Phoenix Sky Harbor International,01-juin-04,6,June,2004,859,1134,986,22,80,14,145,3079,12,10728,13964,,
SAN,San Diego, CA: San Diego International,01-juin-04,6,June,2004,471,624,467,9,44,13,29,1614,4,5485,7132,,
SEA,Seattle, WA: Seattle/Tacoma International,01-juin-04,6,June,2004,694,915,799,13,54,13,108,2477,9,7253,9847,,
SFO,San Francisco, CA: San Francisco International,01-juin-04,6,June,2004,617,630,1318,7,81,13,120,2650,4,8283,11057,,
SLC,Salt Lake City, UT: Salt Lake City International,01-juin-04,6,June,2004,743,510,836,17,98,12,101,2202,26,9473,11802,,
TPA,Tampa, FL: Tampa International,01-juin-04,6,June,2004,306,550,499,1,62,12,11,1419,30,4246,5706,,
ATL,Atlanta, GA: Hartsfield-Jackson Atlanta International,01-juil.-04,7,July,2004,1854,1811,5038,9,491,13,475,9202,101,26116,35894,,
