airport_code,airport_name,airport_name_full,time_label,time_month,time_month_name,time_year,statistics_of_delays_carrier,statistics_of_delays_late_aircraft,statistics_of_delays_national_aviation_system,statistics_of_delays_security,statistics_of_delays_weather,statistics_carriers_total,statistics_flights_cancelled,statistics_flights_delayed,statistics_flights_diverted,statistics_flights_on_time,statistics_flights_total,,
CLT,Charlotte, NC: Charlotte Douglas International,01-déc.-08,12,December,2008,719,579,1016,7,100,14,201,2422,20,7510,10153,,
DCA,Washington, DC: Ronald Reagan Washington National,01-déc.-08,12,December,2008,537,518,542,6,111,13,247,1710,14,4964,6935,,
DEN,Denver, CO: Denver International,01-déc.-08,12,December,2008,1322,2417,2328,10,260,14,419,6338,17,13039,19813,,
DFW,Dallas/Fort Worth, TX: Dallas/Fort Worth International,01-déc.-08,12,December,2008,1044,2212,1559,4,338,15,504,5159,91,16170,21924,,
DTW,Detroit, MI: Detroit Metro Wayne County,01-déc.-08,12,December,2008,806,1419,1205,7,139,16,478,3575,17,8339,12409,,
EWR,Newark, NJ: Newark Liberty International,01-déc.-08,12,December,2008,464,852,2812,5,201,14,639,4335,31,5448,10453,,
FLL,Fort Lauderdale, FL: Fort Lauderdale-Hollywood International,01-déc.-08,12,December,2008,596,657,641,9,55,11,57,1959,5,3693,5714,,
IAD,Washington, DC: Washington Dulles International,01-déc.-08,12,December,2008,531,510,380,2,70,13,175,1494,8,4168,5845,,
IAH,Houston, TX: George Bush Intercontinental/Houston,01-déc.-08,12,December,2008,892,1119,1876,22,364,12,339,4271,43,10340,14993,,
JFK,New York, NY: John F. Kennedy International,01-déc.-08,12,December,2008,670,806,1594,4,163,9,358,3238,19,5804,9419,,
LAS,Las Vegas, NV: McCarran International,01-déc.-08,12,December,2008,998,1703,1496,16,146,14,387,4357,134,8186,13064,,
LAX,Los Angeles, CA: Los Angeles International,01-déc.-08,12,December,2008,1221,1872,1736,14,172,14,345,5013,49,10770,16177,,
LGA,New York, NY: LaGuardia,01-déc.-08,12,December,2008,477,594,1561,1,185,15,474,2818,25,5462,8779,,
MCO,Orlando, FL: Orlando International,01-déc.-08,12,December,2008,836,1186,861,12,120,14,128,3015,12,7499,10654,,
MDW,Chicago, IL: Chicago Midway International,01-déc.-08,12,December,2008,409,773,559,12,159,5,220,1912,155,4293,6580,,
MIA,Miami, FL: Miami International,01-déc.-08,12,December,2008,488,466,644,4,101,12,65,1702,7,3566,5340,,
MSP,Minneapolis, MN: Minneapolis-St Paul International,01-déc.-08,12,December,2008,702,933,1416,7,226,14,347,3280,67,6105,9799,,
ORD,Chicago, IL: Chicago O'Hare International,01-déc.-08,12,December,2008,1456,3275,4440,6,330,15,1947,9506,123,14812,26388,,
PDX,Portland, OR: Portland International,01-déc.-08,12,December,2008,387,586,450,4,56,12,306,1483,42,2679,4510,,
PHL,Philadelphia, PA: Philadelphia International,01-déc.-08,12,December,2008,463,641,1407,6,151,15,260,2669,42,5132,8103,,
PHX,Phoenix, AZ: Phoenix Sky Harbor International,01-déc.-08,12,December,2008,1207,1478,1780,17,183,15,287,4663,19,10669,15638,,
SAN,San Diego, CA: San Diego International,01-déc.-08,12,December,2008,575,950,665,4,72,15,201,2265,110,4509,7085,,
SEA,Seattle, WA: Seattle/Tacoma International,01-déc.-08,12,December,2008,784,1103,1095,11,139,12,415,3131,41,4761,8348,,
SFO,San Francisco, CA: San Francisco International,01-déc.-08,12,December,2008,720,1378,2039,5,133,14,355,4277,51,6527,11210,,
SLC,Salt Lake City, UT: Salt Lake City International,01-déc.-08,12,December,2008,630,1430,1009,7,140,12,246,3216,79,7318,10859,,
TPA,Tampa, FL: Tampa International,01-déc.-08,12,December,2008,513,723,437,6,69,12,72,1748,10,4502,6332,,
ATL,Atlanta, GA: Hartsfield-Jackson Atlanta International,01-janv.-09,1,January,2009,1226,2806,4172,7,252,15,675,8463,40,24142,33320,,
BOS,Boston, MA: Logan International,01-janv.-09,1,January,2009,495,579,739,3,100,14,466,1916,11,6592,8985,,
BWI,Baltimore, MD: Baltimore/Washington International Thurgood Marshall,01-janv.-09,1,January,2009,399,565,396,10,65,14,127,1436,11,6462,8036,,
CLT,Charlotte, NC: Charlotte Douglas International,01-janv.-09,1,January,2009,558,467,1039,3,61,14,152,2127,25,7591,9895,,
DCA,Washington, DC: Ronald Reagan Washington National,01-janv.-09,1,January,2009,447,375,561,3,98,13,258,1482,7,5180,6927,,
DEN,Denver, CO: Denver International,01-janv.-09,1,January,2009,820,1347,1562,7,126,14,266,3863,15,15303,19447,,
DFW,Dallas/Fort Worth, TX: Dallas/Fort Worth International,01-janv.-09,1,January,2009,686,1437,1195,1,347,15,721,3664,34,17482,21901,,
DTW,Detroit, MI: Detroit Metro Wayne County,01-janv.-09,1,January,2009,545,881,1008,2,82,16,266,2518,14,9025,11823,,
EWR,Newark, NJ: Newark Liberty International,01-janv.-09,1,January,2009,323,459,2517,7,119,14,439,3425,18,6277,10159,,
FLL,Fort Lauderdale, FL: Fort Lauderdale-Hollywood International,01-janv.-09,1,January,2009,376,387,543,3,50,11,40,1358,6,4207,5611,,
IAD,Washington, DC: Washington Dulles International,01-janv.-09,1,January,2009,368,291,271,2,48,13,120,980,8,4448,5556,,
IAH,Houston, TX: George Bush Intercontinental/Houston,01-janv.-09,1,January,2009,451,462,922,5,77,12,90,1918,13,12246,14267,,
JFK,New York, NY: John F. Kennedy International,01-janv.-09,1,January,2009,525,498,1150,1,132,9,251,2309,16,6601,9177,,
LAS,Las Vegas, NV: McCarran International,01-janv.-09,1,January,2009,553,797,802,5,77,14,123,2231,7,10602,12963,,
LAX,Los Angeles, CA: Los Angeles International,01-janv.-09,1,January,2009,715,918,720,4,100,14,257,2459,18,13116,15850,,
